second,Pa
0,0.0298
30,0.0278
60,0.0260
90,0.0244
120,0.0236
150,0.0222
180,0.0216
210,0.0202
240,0.0196
270,0.0182
300,0.0174
360,0.0158
420,0.0148
480,0.0140
540,0.0136
600,0.0128
660,0.0122
720,0.0120
780,0.0120
840,0.0116
900,0.0108
960,0.0106
1020,0.0102
1080,0.0100
1140,0.0100
1200,0.0098
1260,0.00916
1320,0.00898
1380,0.00880
1440,0.00862
1500,0.00848
1680,0.00795
1800,0.00771
2100,0.00720
2400,0.00697
2700,0.00658
3000,0.00620
3300,0.00599
3600,0.00580
