second,Pa
0,10000.0
6,3000.0
9,2000.0
10,1500.0
11,900.0
12,600.0
13,390.0
14,250.0
15,180.0
16,110.0
17,80.0
18,60.0
19,42.0
20,38.0
21,24.0
22,20.0
23,15.0
24,13.0
25,10.0
26,9.0
27,8.0
28,7.5
29,6.0
30,5.1
31,5.0
32,5.0
33,4.9
34,4.5
35,4.0
36,3.5
37,3.0
38,2.9
39,2.5
40,2.2
41,2.1
42,2.0
43,2.0
44,2.0
45,2.0
