second,Pa
0,0.000368
15,0.000360
30,0.000348
45,0.000320
60,0.000308
75,0.000302
90,0.000298
120,0.000288
150,0.000280
180,0.000276
240,0.000262
300,0.000258
600,0.000236
1200,0.000206
1800,0.000198
