second,Pa
0,0.510
1,0.100
2,0.030
4,0.020
6,0.018
8,0.0080
10,0.0070
20,0.0050
30,0.00346
40,0.00302  
50,0.00280
60,0.00258
90,0.00220
120,0.00200
180,0.00176
240,0.00160
300,0.00142
600,0.00100
900,0.00080
1200,0.00070
1800,0.00060
2400,0.000460
3000,0.000418
3600,0.000382
