second,Pa
0,100000
12,3000
13,2500
14,2100
15,1800
16,1200
17,700
18,500
19,350
20,280
21,180
22,110
23,90
24,55
25,50
26,35
27,30
28,23
29,20
30,18
31,15
32,12
33,10.5
34,10
35,9.8
36,8
37,7.5
38,7.2
39,6.5
40,6
41,5.2
42,5
43,4.9
44,4.9
45,4.8
46,4.7
48,4.1
49,4
50,3.9
51,3.8
52,3.7
53,3.5
54,3.4
55,3
56,2.5
57,2.3
58,2.1
59,2.1
60,2.1
90,1.5
120,1.2
150,1.1
180,1.0
240,0.9
300,0.9
360,0.9
420,0.9
480,0.8
540,0.8
600,0.8
900,0.8
1200,0.7
1800,0.7



