second,Pa
0,1.0
60,1.1
120,1.2
180,1.3
240,1.4
300,1.5
360,1.6
420,1.7
480,1.8
540,1.85
600,1.90
660,2.0
720,2.05
780,2.1
840,2.15
900,2.2
960,2.25
1020,2.3
1080,2.35
1140,2.4
1200,2.5
1260,2.6
1320,2.7
1380,2.9
1440,3.0
1500,3.1
1560,3.2
1620,3.3
1680,3.4
1740,3.5
1800,3.6
