second,Pa
0,0.00198
1,0.00576
2,0.00962
3,0.0180
4,0.0220
5,0.0268
6,0.0322
7,0.0376
8,0.0424
9,0.0478
10,0.0528
11,0.0580
12,0.0618
13,0.0646
14,0.0752
15,0.0818
16,0.0864
17,0.0820
18,0.0980
20,0.118
21,0.120
22,0.124
23,0.132
24,0.138
25,0.142
26,0.146
27,0.156
28,0.160
29,0.164
30,0.172
31,0.178
32,0.180
33,0.188
34,0.196
35,0.198
36,0.202
