minutes,T,Pa
24.0,120.5,0.00160
25.0,121.9,0.00160
26.0,122.2,0.00166
27.0,120.5,0.00164
28.0,120.5,0.00164
29.0,120.8,0.00160
30.0,119.9,0.00160
31.0,120.1,0.00162
32.0,120.4,0.00160
33.0,120.4,0.00160
34.0,120.4,0.00156
35.0,120.5,0.00150
36.0,119.9,0.00158
37.0,118.4,0.00166
38.0,121.1,0.00158
39.0,121.8,0.00160
40.0,121.9,0.00160
