minutes,T,Pa
0.0,20.5,0.00044
0.5,21.4,0.00045
1.0,25.8,0.00048
1.5,30.3,0.00054
2.0,34.1,0.00063
2.5,37.3,0.00075
3.0,40.1,0.00090
3.5,42.6,0.0012
4.0,45.3,0.0014
4.5,47.4,0.0015
5.0,49.0,0.0016
6.0,52.2,0.0018
7.0,56.3,0.0020
8.0,60.1,0.0022
9.0,63.9,0.0023
10.0,65.8,0.0024
15.0,75.2,0.0026
20.0,80.9,0.0030
25.0,86.5,0.0036
26.0,87.2,0.0036
27.0,167.3,0.0038
