second,Pa
0,0.000264
15,0.000270
30,0.000278
45,0.000292
60,0.000312
75,0.000356
80,0.000320
85,0.000318
90,0.000428
95,0.000460
100,0.000504
105,0.000554
110,0.000610
115,0.000680
120,0.000760
