minutes,T,Pa
0.0,167.3,0.0038
0.5,158.8,0.0036
1.0,149.1,0.0034
1.5,140.9,0.0032
2.0,134.0,0.0030
2.5,128.0,0.0028
3.0,122.8,0.0026
4.0,114.1,0.0024
5.0,106.9,0.0022
6.0,100.6,0.0020
7.0,94.9,0.0019
8.0,89.9,0.0018
9.0,85.4,0.0016
10.0,80.5,0.0015
15.0,65.0,0.0010
20.0,54.1,0.00066
25.0,46.3,0.00050
30.0,40.5,0.00040
35.0,36.6,0.00035
40.0,33.4,0.00032
